Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Norway,"51,475.11","49,182.33","47,494.57","49,400.79","51,279.68","51,623.59","54,614.66","54,631.17","54,779.97","55,736.95","55,117.39","56,349.07","55,222.38","55,762.84","56,151.19","55,269.62","55,238.38","56,895.40","55,442.36","53,053.84","55,265.59","54,509.57","53,998.11","53,989.10","53,863.14","54,125.12","53,095.07","52,089.48","52,211.46","50,333.98"
OECD - Europe,"5,588,408.50","5,567,812.00","5,421,059.00","5,339,287.00","5,312,786.50","5,366,711.50","5,500,390.00","5,424,047.50","5,406,203.00","5,322,327.50","5,339,734.00","5,367,127.00","5,336,262.00","5,432,447.50","5,447,102.50","5,434,862.50","5,442,541.00","5,422,156.50","5,306,798.50","4,970,453.50","5,086,109.00","4,944,478.00","4,916,111.50","4,828,424.50","4,664,077.00","4,705,281.00","4,713,299.50","4,745,996.00","4,652,157.50","4,473,145.50"
OECD America,"7,638,257.00","7,573,904.50","7,713,593.00","7,843,008.00","7,981,138.50","8,077,919.50","8,337,846.00","8,442,128.00","8,521,267.00","8,559,141.00","8,786,618.00","8,655,338.00","8,722,294.00","8,808,193.00","8,944,042.00","8,968,986.00","8,916,593.00","9,083,648.00","8,885,935.00","8,374,841.50","8,601,694.00","8,465,978.00","8,232,323.00","8,436,900.00","8,496,814.00","8,363,986.50","8,200,864.50","8,174,035.50","8,375,674.50","8,264,339.00"
Peru,"50,098.00","51,633.00","53,167.00","54,702.00","57,582.87","57,771.00","59,305.00","60,840.00","62,374.00","63,909.00","63,197.00","66,978.00","68,512.00","70,047.00","71,581.00","73,116.00","74,650.00","76,185.00","77,719.00","79,254.00","80,591.02","82,323.00","84,564.00","85,392.00","86,926.00","88,461.00","89,995.00","91,530.00","93,604.00","94,599.00"
Poland,"475,862.93","463,790.87","451,015.94","450,911.26","445,289.05","447,309.06","461,109.53","451,022.73","420,681.52","409,182.56","396,594.91","395,187.65","385,455.07","399,258.84","404,900.89","405,225.25","420,408.33","420,268.92","413,750.43","394,713.90","413,501.55","412,488.95","404,975.67","401,638.24","388,929.07","390,815.88","400,421.28","414,819.41","411,852.17","390,744.67"
Portugal,"58,783.78","60,689.04","64,536.04","63,027.64","63,924.87","68,588.14","66,294.63","69,473.47","74,333.27","82,400.44","81,668.11","81,199.88","85,719.94","80,429.33","83,559.56","85,704.34","80,871.67","78,593.01","76,195.15","73,008.70","68,727.03","67,319.09","65,404.63","63,542.23","63,439.83","67,586.67","65,741.58","70,790.72","67,131.79","63,469.98"
Romania,"247,371.77","204,385.17","189,482.02","179,379.26","176,655.00","183,855.96","186,702.30","179,616.66","163,514.28","145,552.03","138,766.96","142,383.73","143,913.34","149,600.07","147,819.50","146,944.76","148,442.79","145,429.71","140,785.56","121,699.30","116,143.75","123,862.20","121,086.33","111,881.72","112,485.91","113,193.87","110,762.21","114,245.64","115,090.96","111,767.06"
Russia,"3,158,804.34","2,997,928.59","2,519,559.58","2,382,405.22","2,120,840.38","2,068,333.80","2,017,432.58","1,899,548.64","1,867,753.70","1,897,296.71","1,891,846.01","1,926,302.45","1,903,699.11","1,936,360.29","1,947,980.21","1,965,384.74","2,024,782.86","2,022,728.31","2,057,617.56","1,921,605.98","2,013,432.45","2,070,533.86","2,095,638.94","2,037,755.83","2,037,987.26","2,035,889.30","2,037,209.58","2,071,543.37","2,133,581.60","2,119,432.41"
Saudi Arabia,"165,268.97","167,145.00","185,246.00","203,347.00","221,448.00","239,549.00","257,650.00","275,751.00","293,852.00","311,953.00","296,059.87","348,155.00","366,256.00","384,357.00","402,548.00","420,559.00","438,660.00","456,761.00","474,862.00","492,963.00","525,332.15","529,165.00","548,262.55","565,367.00","583,468.00","601,569.00","619,670.00","637,771.00","655,872.00","673,973.00"
Slovak Republic,"73,386.17","63,926.60","58,212.79","54,796.04","52,323.03","52,888.94","52,723.11","52,634.99","51,948.77","50,561.42","48,669.91","50,925.39","49,526.70","49,680.81","50,409.47","50,357.19","50,267.53","48,477.95","48,898.52","44,706.18","45,363.93","44,555.47","42,309.22","41,862.56","39,862.99","40,712.46","41,112.12","42,226.70","42,159.13","39,948.33"
Slovenia,"18,580.24","17,228.31","17,219.63","17,468.76","17,902.58","18,690.99","19,305.13","19,851.92","19,425.62","18,805.73","18,581.77","19,851.46","20,107.88","19,776.00","20,175.28","20,433.19","20,633.36","20,817.43","21,543.28","19,378.09","19,613.54","19,540.39","18,917.61","18,220.97","16,581.50","16,760.95","17,616.46","17,696.60","17,521.74","17,065.45"
South Africa,"347,349.36","359,778.00","363,364.00","366,950.00","379,837.16","374,122.00","377,708.00","381,294.00","384,880.00","388,466.00","392,052.00","395,638.00","399,224.00","402,810.00","406,396.00","409,982.00","413,568.00","417,154.00","420,740.00","424,326.00","427,912.00","431,498.00","435,084.00","438,670.00","442,256.00","445,842.00","449,428.00","453,014.00","456,600.00","460,186.00"
Spain,"290,001.47","297,748.42","307,391.55","296,709.53","313,335.54","329,350.69","321,413.46","335,792.94","345,414.75","372,592.11","388,211.54","385,643.07","403,700.67","411,524.81","427,387.29","442,075.01","435,255.58","446,328.12","412,136.25","372,318.72","357,876.02","357,588.45","350,317.74","323,525.94","325,609.36","336,994.88","325,465.70","338,738.17","333,250.41","314,528.51"
Sweden,"71,239.18","71,495.94","71,032.92","71,336.93","73,852.01","73,185.39","77,151.15","72,137.84","72,588.00","69,504.50","68,149.05","68,963.19","69,684.74","70,052.93","69,487.57","66,662.53","66,281.64","65,164.48","62,788.90","58,523.68","64,557.43","60,230.62","57,376.45","55,718.95","53,833.30","53,998.52","53,571.52","53,010.59","52,170.22","50,919.87"
Switzerland,"53,631.10","55,542.61","55,304.04","52,752.23","51,757.12","52,684.05","53,380.53","52,219.92","53,783.45","53,634.57","52,931.42","54,477.08","52,986.03","54,080.41","54,688.41","55,348.19","55,037.80","53,123.60","54,541.43","53,083.92","54,721.38","50,606.40","51,946.23","52,831.53","48,875.41","48,415.62","48,709.06","47,868.93","46,369.71","46,108.19"
Turkey,"219,572.21","226,956.77","233,185.06","240,521.14","234,496.43","247,993.71","267,614.11","278,866.03","280,419.45","277,840.88","298,954.23","280,503.24","286,227.35","305,290.16","314,843.15","337,344.65","358,571.11","391,664.26","387,853.21","395,843.89","399,143.06","428,120.39","447,582.09","439,694.38","458,953.88","473,335.82","498,886.78","524,980.92","522,476.63","506,080.42"
Ukraine,"942,574.07","856,175.82","801,154.32","711,031.75","604,727.18","561,925.72","515,089.60","499,401.61","480,725.92","449,424.96","427,602.79","445,700.84","430,839.88","440,133.92","442,916.37","442,062.65","459,698.39","463,030.00","450,790.66","390,310.52","407,123.69","428,395.17","417,435.21","409,042.06","362,608.94","319,141.19","337,456.51","323,045.06","339,797.89","332,114.02"
United Kingdom,"794,869.45","804,232.67","783,560.56","764,121.94","754,886.83","748,483.64","770,309.29","744,640.42","742,696.69","712,883.46","711,972.54","714,597.26","694,790.61","701,372.64","697,609.49","690,112.27","683,132.37","671,465.50","650,476.11","594,416.68","608,732.30","563,659.98","580,418.64","566,545.83","526,556.30","509,050.72","484,146.20","473,389.98","466,666.98","453,101.46"
United States,"6,442,650.63","6,373,621.14","6,486,343.84","6,604,349.89","6,691,822.83","6,775,860.25","6,981,165.38","7,036,508.04","7,083,269.27","7,125,399.03","7,313,616.49","7,202,956.51","7,244,301.89","7,301,363.18","7,415,471.11","7,423,031.03","7,344,462.85","7,449,616.03","7,224,648.98","6,772,000.07","6,991,106.34","6,827,402.42","6,585,907.77","6,764,669.11","6,824,956.71","6,671,112.07","6,520,337.84","6,483,291.33","6,671,449.40","6,558,345.18"
